Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay
113,English Literature,Associate,26700,45200
114,Accounting,Associate,33200,45000
115,Accounting & Business,Associate,33600,45000
116,Social Science,Associate,29800,44800
117,Fine Arts,Associate,30100,44500
118,Human Resources (HR),Associate,34400,44000
119,Sociology,Associate,30900,43900
120,Psychology,Associate,28800,43300
121,Graphic Communication,Associate,31400,42900
122,Vocational Nursing,Associate,41300,42600
123,Dental Assisting,Associate,31100,42500
124,Practical Nursing,Associate,37400,42300
125,Horticulture,Associate,33200,41200
126,Administrative Assistant & Secretarial Science,Associate,29100,40000
127,Health Information Technology,Associate,32000,39300
128,Health Care Administration,Associate,29600,38800
129,Education,Associate,27500,38300
130,Office Administration,Associate,27400,38000
131,Office Management,Associate,27900,37600
132,Veterinary Technology,Associate,28600,35000
133,Medical Assisting,Associate,27800,34500
134,Medical Office Administration,Associate,28200,34400
135,Elementary Education,Associate,24900,34200
136,Human Services (HS),Associate,28600,33400
137,Medical Billing & Coding,Associate,29600,33200
138,Social Work (SW),Associate,26700,32800
139,Child Development,Associate,25400,29600
140,Early Childhood Education,Associate,23300,28900
1,Nurse Anesthesia,Master's,140000,156000
2,Computer Science (CS) & Engineering,Master's,95900,134000
3,Operations Research,Master's,80800,130000
4,Electrical & Electronics Engineering (EEE),Master's,79500,129000
5,Taxation,Master's,61100,129000
6,Electrical Engineering (EE),Master's,79900,127000
7,Technology Management,Master's,65900,127000
8,Chemical Engineering,Master's,73100,125000
9,Computer Engineering (CE),Master's,86700,125000
10,Computer Science (CS),Master's,84800,125000
11,Electrical & Computer Engineering (ECE),Master's,82000,125000
12,Biomedical Engineering (BME),Master's,70500,122000
13,Applied Mathematics,Master's,67800,121000
14,Finance,Master's,63900,121000
15,Nuclear Engineering,Master's,74000,121000
16,Telecommunications Engineering,Master's,74200,121000
17,Engineering,Master's,72300,120000
18,Industrial Engineering (IE),Master's,70500,119000
19,Software Engineering,Master's,83900,119000
20,Aerospace Engineering,Master's,76300,118000
21,Industrial & Systems Engineering,Master's,69800,118000
